"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-12-01","192.53","190.33","199.62","187.45","1.06B","1.36%"
"2023-11-01","189.95","171.00","192.93","170.12","1.10B","11.23%"
"2023-10-01","170.77","171.22","182.34","165.67","1.17B","-0.26%"
"2023-09-01","171.21","189.49","189.98","167.62","1.34B","-8.87%"
"2023-08-01","187.87","196.24","196.73","171.96","1.32B","-4.37%"
"2023-07-01","196.45","193.78","198.23","186.60","996.37M","1.28%"
"2023-06-01","193.97","177.70","194.48","176.93","1.30B","9.43%"
"2023-05-01","177.25","169.28","179.35","164.31","1.28B","4.46%"
"2023-04-01","169.68","164.27","169.85","159.78","969.78M","2.90%"
"2023-03-01","164.90","146.83","165.00","143.90","1.52B","11.86%"
"2023-02-01","147.41","143.97","157.38","141.32","1.31B","2.16%"
"2023-01-01","144.29","130.28","147.23","124.17","1.44B","11.05%"
"2022-12-01","129.93","148.21","150.92","125.87","1.68B","-12.23%"
"2022-11-01","148.03","155.08","155.45","134.38","1.72B","-3.46%"
"2022-10-01","153.34","138.21","157.50","134.37","1.87B","10.96%"
"2022-09-01","138.20","156.64","164.26","138.00","2.08B","-12.10%"
"2022-08-01","157.22","161.01","176.15","157.14","1.51B","-3.26%"
"2022-07-01","162.51","136.04","163.63","135.66","1.45B","18.86%"
"2022-06-01","136.72","149.90","151.74","129.04","1.75B","-8.14%"
"2022-05-01","148.84","156.71","166.48","132.61","2.40B","-5.59%"
"2022-04-01","157.65","174.03","178.49","155.38","1.69B","-9.71%"
"2022-03-01","174.61","164.70","179.61","150.10","2.18B","5.75%"
"2022-02-01","165.12","174.01","176.65","152.00","1.63B","-5.53%"
"2022-01-01","174.78","177.83","182.94","154.70","2.11B","-1.57%"
"2021-12-01","177.57","167.48","182.13","157.80","2.45B","7.42%"
"2021-11-01","165.30","148.99","165.70","147.48","1.69B","10.35%"
"2021-10-01","149.80","141.90","153.16","138.27","1.57B","5.87%"
"2021-09-01","141.50","152.83","157.26","141.27","1.80B","-6.80%"
"2021-08-01","151.83","146.36","153.49","144.50","1.46B","4.09%"
"2021-07-01","145.86","136.60","150.00","135.76","1.92B","6.50%"
"2021-06-01","136.96","125.08","137.41","123.13","1.61B","9.91%"
"2021-05-01","124.61","132.04","134.07","122.25","1.71B","-5.21%"
"2021-04-01","131.46","123.66","137.07","122.49","1.89B","7.62%"
"2021-03-01","122.15","123.75","128.72","116.21","2.65B","0.73%"
"2021-02-01","121.26","133.75","137.88","118.39","1.83B","-8.11%"
"2021-01-01","131.96","133.52","145.09","126.38","2.24B","-0.55%"
"2020-12-01","132.69","121.01","138.79","120.01","2.32B","11.46%"
"2020-11-01","119.05","109.11","121.99","107.32","2.12B","9.36%"
"2020-10-01","108.86","117.64","125.39","107.72","2.90B","-6.00%"
"2020-09-01","115.81","132.76","137.98","103.10","3.89B","-10.25%"
"2020-08-01","129.04","108.20","131.00","107.89","4.07B","21.44%"
"2020-07-01","106.26","91.28","106.42","89.14","3.02B","16.51%"
"2020-06-01","91.20","79.44","93.10","79.30","3.24B","14.74%"
"2020-05-01","79.49","71.56","81.06","71.46","2.81B","8.22%"
"2020-04-01","73.45","61.63","73.63","59.22","3.27B","15.54%"
