"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-12-01","151.94","146.00","155.63","142.81","931.32M","4.00%"
"2023-11-01","146.09","133.96","149.26","133.71","1.02B","9.77%"
"2023-10-01","133.09","127.28","134.48","118.35","1.22B","4.70%"
"2023-09-01","127.12","139.46","145.86","123.04","1.12B","-7.89%"
"2023-08-01","138.01","133.55","143.63","126.41","1.21B","3.24%"
"2023-07-01","133.68","130.82","136.65","125.92","1.06B","2.55%"
"2023-06-01","130.36","120.69","131.49","119.93","1.24B","8.11%"
"2023-05-01","120.58","104.95","122.92","101.15","1.43B","14.35%"
"2023-04-01","105.45","102.30","110.86","97.71","1.22B","2.09%"
"2023-03-01","103.29","93.87","103.49","88.12","1.35B","9.61%"
"2023-02-01","94.23","102.53","114.00","92.32","1.36B","-8.63%"
"2023-01-01","103.13","85.46","103.48","81.43","1.39B","22.77%"
"2022-12-01","84.00","96.99","97.23","81.69","1.55B","-12.99%"
"2022-11-01","96.54","103.99","104.58","85.87","2.04B","-5.76%"
"2022-10-01","102.44","113.58","123.00","97.66","1.46B","-9.35%"
"2022-09-01","113.00","126.00","136.49","112.06","1.21B","-10.86%"
"2022-08-01","126.77","134.96","146.57","126.74","1.17B","-6.06%"
"2022-07-01","134.95","106.29","137.65","105.85","1.34B","27.06%"
"2022-06-01","106.21","122.26","128.99","101.43","1.77B","-11.65%"
"2022-05-01","120.21","122.40","126.22","101.26","2.26B","-3.27%"
"2022-04-01","124.28","164.15","168.39","121.62","1.47B","-23.75%"
"2022-03-01","163.00","152.73","170.83","133.57","1.63B","6.15%"
"2022-02-01","153.56","150.00","163.83","138.33","1.69B","2.67%"
"2022-01-01","149.57","167.55","171.40","135.35","1.53B","-10.29%"
"2021-12-01","166.72","177.25","177.99","165.19","1.29B","-4.92%"
"2021-11-01","175.35","168.09","188.11","164.18","1.52B","3.99%"
"2021-10-01","168.62","164.45","173.95","158.81","1.27B","2.66%"
"2021-09-01","164.25","174.82","177.50","163.70","1.25B","-5.35%"
"2021-08-01","173.54","167.66","173.63","158.79","1.26B","4.30%"
"2021-07-01","166.38","171.73","188.65","165.35","1.67B","-3.27%"
"2021-06-01","172.01","162.17","176.24","158.61","1.34B","6.74%"
"2021-05-01","161.15","174.24","174.33","156.37","1.50B","-7.05%"
"2021-04-01","173.37","155.90","177.70","155.78","1.54B","12.07%"
"2021-03-01","154.70","156.39","159.10","144.05","1.56B","0.03%"
"2021-02-01","154.65","162.12","171.70","151.84","1.44B","-3.53%"
"2021-01-01","160.31","163.50","168.19","154.30","1.43B","-1.56%"
"2020-12-01","162.85","159.43","167.53","153.64","1.55B","2.81%"
"2020-11-01","158.40","153.09","168.34","147.51","1.82B","4.34%"
"2020-10-01","151.81","160.40","174.81","150.95","2.33B","-3.58%"
"2020-09-01","157.44","174.48","177.61","143.55","2.32B","-8.76%"
"2020-08-01","172.55","159.03","174.75","153.65","1.67B","9.05%"
