"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-12-01","1,116.25","922.46","1,151.82","903.10","92.54M","20.58%"
"2023-11-01","925.73","842.00","999.87","835.57","60.52M","10.03%"
"2023-10-01","841.37","829.06","925.91","808.91","46.22M","1.30%"
"2023-09-01","830.58","901.87","901.87","795.09","48.04M","-10.00%"
"2023-08-01","922.89","898.98","923.67","812.00","50.36M","2.70%"
"2023-07-01","898.65","868.62","923.18","844.33","48.92M","3.60%"
"2023-06-01","867.43","800.62","889.95","776.38","73.74M","7.36%"
"2023-05-01","807.96","626.50","921.78","601.29","70.29M","28.96%"
"2023-04-01","626.50","639.00","644.23","603.23","31.30M","-2.34%"
"2023-03-01","641.54","594.00","648.50","586.13","60.28M","7.95%"
"2023-02-01","594.29","583.57","617.01","572.10","37.62M","1.59%"
"2023-01-01","585.01","565.00","601.67","549.99","44.56M","4.63%"
"2022-12-01","559.13","551.03","585.65","516.05","53.36M","1.47%"
"2022-11-01","551.03","475.80","551.66","441.36","46.08M","17.21%"
"2022-10-01","470.12","449.24","489.70","415.07","48.15M","5.88%"
"2022-09-01","444.01","491.47","531.26","443.64","57.35M","-11.04%"
"2022-08-01","499.11","531.43","560.56","496.54","39.87M","-6.79%"
"2022-07-01","535.48","479.41","537.83","463.91","39.44M","10.22%"
"2022-06-01","485.81","587.58","590.94","480.71","46.83M","-16.26%"
"2022-05-01","580.13","557.14","609.00","512.44","60.98M","4.64%"
"2022-04-01","554.39","631.69","636.72","553.40","42.57M","-11.96%"
"2022-03-01","629.68","584.79","645.31","563.61","55.30M","7.19%"
"2022-02-01","587.44","585.87","614.64","549.02","45.17M","0.27%"
"2022-01-01","585.88","666.32","672.19","513.40","62.71M","-11.95%"
"2021-12-01","665.41","563.48","677.76","544.00","60.29M","20.18%"
"2021-11-01","553.68","530.34","577.21","524.93","34.37M","4.14%"
"2021-10-01","531.67","487.85","536.07","472.78","34.17M","9.64%"
"2021-09-01","484.93","496.27","510.70","484.48","37.31M","-2.47%"
"2021-08-01","497.21","489.05","507.85","462.66","26.44M","2.43%"
"2021-07-01","485.40","477.84","494.02","455.71","32.34M","1.80%"
"2021-06-01","476.84","475.44","478.59","458.44","37.74M","0.95%"
"2021-05-01","472.33","459.75","474.62","419.14","35.50M","3.54%"
"2021-04-01","456.20","472.07","489.64","449.00","40.56M","-1.61%"
"2021-03-01","463.66","479.70","490.86","419.26","72.48M","-1.32%"
"2021-02-01","469.87","455.85","495.14","453.59","31.75M","4.30%"
"2021-01-01","450.50","439.33","470.00","420.54","32.13M","2.89%"
"2020-12-01","437.85","403.46","438.50","398.10","40.16M","9.03%"
"2020-11-01","401.58","355.04","402.16","346.66","30.10M","14.86%"
"2020-10-01","349.63","368.98","387.80","344.42","33.74M","-4.03%"
"2020-09-01","364.32","350.00","378.96","343.48","51.90M","4.95%"
"2020-08-01","347.15","318.00","350.58","317.28","31.03M","9.60%"
"2020-07-01","316.75","315.11","324.33","304.18","37.93M","0.36%"
"2020-06-01","315.61","290.42","328.11","287.37","65.23M","8.36%"
"2020-05-01","291.27","266.00","292.00","254.75","41.96M","7.23%"
"2020-04-01","271.62","227.99","276.99","219.68","62.01M","14.56%"
"2020-03-01","237.10","276.76","288.48","155.67","119.56M","-13.03%"
"2020-02-01","272.62","305.63","325.70","262.74","45.88M","-10.66%"
"2020-01-01","305.16","319.32","331.58","298.80","58.55M","-3.44%"
"2019-12-01","316.02","317.72","331.20","303.13","51.85M","-0.06%"
"2019-11-01","316.21","292.99","325.67","292.09","40.86M","7.98%"
"2019-10-01","292.85","278.27","294.08","267.22","42.93M","6.08%"
"2019-09-01","276.07","280.00","302.33","270.00","52.19M","-2.32%"
"2019-08-01","282.64","289.13","297.82","262.50","45.43M","-2.53%"
"2019-07-01","289.99","301.68","305.75","272.41","52.04M","0.74%"
"2019-06-01","287.86","252.55","291.75","251.20","73.71M","14.39%"
"2019-05-01","251.64","320.50","323.20","250.09","64.22M","-20.97%"
"2019-04-01","318.40","303.11","322.45","299.75","40.86M","5.88%"
"2019-03-01","300.71","277.73","303.30","259.20","72.69M","9.21%"
"2019-02-01","275.36","269.15","286.63","264.89","41.51M","2.65%"
"2019-01-01","268.25","248.85","273.75","230.33","74.94M","5.49%"
"2018-12-01","254.28","245.20","261.59","217.61","97.82M","7.11%"
"2018-11-01","237.41","225.16","242.62","213.71","64.53M","6.23%"
"2018-10-01","223.49","247.88","252.14","208.23","74.10M","-9.42%"
"2018-09-01","246.73","218.59","250.10","213.92","96.35M","12.65%"
"2018-08-01","219.03","223.26","223.94","202.77","70.86M","-1.24%"
"2018-07-01","221.77","240.09","251.80","197.46","174.20M","-8.60%"
"2018-06-01","242.64","254.37","271.81","242.26","76.08M","-3.74%"
"2018-05-01","252.07","230.85","255.29","221.98","71.24M","9.87%"
"2018-04-01","229.42","233.95","252.85","225.44","75.69M","-2.64%"
"2018-03-01","235.65","245.86","273.85","234.76","102.91M","-4.39%"
"2018-02-01","246.46","241.72","255.74","224.90","72.95M","-0.63%"
"2018-01-01","248.03","259.77","274.26","237.01","75.28M","-3.45%"
"2017-12-01","256.90","275.21","275.70","253.39","66.79M","-7.57%"
"2017-11-01","277.94","264.24","285.68","248.87","75.48M","5.32%"
"2017-10-01","263.91","245.31","266.70","237.51","53.31M","8.81%"
"2017-09-01","242.54","252.33","255.34","231.53","53.94M","-3.78%"
"2017-08-01","252.07","248.23","259.36","238.70","60.98M","2.19%"
"2017-07-01","246.66","234.51","258.49","227.50","42.50M","5.84%"
"2017-06-01","233.05","241.60","256.78","230.57","83.38M","-2.68%"
"2017-05-01","239.48","222.09","242.89","219.91","50.40M","8.46%"
"2017-04-01","220.81","219.00","224.09","208.44","36.45M","0.84%"
"2017-03-01","218.96","213.07","227.75","210.56","66.29M","3.81%"
"2017-02-01","210.93","202.25","215.96","200.21","45.31M","5.73%"
"2017-01-01","199.50","178.29","205.79","173.31","66.35M","12.86%"
"2016-12-01","176.77","170.01","183.99","160.62","67.19M","3.68%"
"2016-11-01","170.49","170.72","178.02","163.02","53.65M","0.12%"
"2016-10-01","170.28","173.01","177.00","166.80","42.30M","-1.30%"
"2016-09-01","172.52","176.88","177.67","158.75","74.60M","-2.21%"
"2016-08-01","176.42","162.78","179.42","161.28","47.83M","8.91%"
"2016-07-01","161.98","154.47","167.60","147.16","41.77M","4.23%"
"2016-06-01","155.40","153.41","166.00","142.27","75.93M","0.67%"
"2016-05-01","154.36","146.16","154.95","139.18","44.80M","5.91%"
"2016-04-01","145.75","154.04","159.65","143.25","51.99M","-5.66%"
"2016-03-01","154.50","135.37","157.37","134.30","85.74M","15.32%"
"2016-02-01","133.97","133.34","138.69","114.25","90.19M","0.19%"
"2016-01-01","133.71","142.07","143.30","117.17","131.68M","-7.88%"
"2015-12-01","145.15","131.17","149.72","130.91","77.34M","11.27%"
"2015-11-01","130.45","123.66","130.70","115.21","58.21M","5.94%"
"2015-10-01","123.13","123.11","129.84","111.53","85.56M","-1.50%"
"2015-09-01","125.01","121.52","134.95","118.06","71.36M","-0.76%"
"2015-08-01","125.97","126.42","128.04","100.00","81.01M","0.66%"
"2015-07-01","125.14","134.41","137.75","123.52","82.81M","-5.86%"
"2015-06-01","132.93","148.24","150.50","131.04","77.21M","-10.22%"
"2015-05-01","148.07","117.92","149.24","115.39","80.03M","26.69%"
"2015-04-01","116.88","126.66","128.00","114.56","43.18M","-7.95%"
"2015-03-01","126.98","127.21","136.28","116.96","56.79M","-0.50%"
"2015-02-01","127.62","103.25","129.89","99.16","44.73M","24.05%"
"2015-01-01","102.88","100.93","108.34","95.18","38.27M","2.28%"
"2014-12-01","100.59","93.05","105.00","89.72","51.61M","7.70%"
"2014-11-01","93.40","86.44","94.43","83.50","28.90M","8.29%"
"2014-10-01","86.25","87.12","87.92","68.75","68.45M","-0.86%"
"2014-09-01","87.00","82.97","90.88","82.40","45.93M","5.98%"
"2014-08-01","82.09","69.92","84.80","68.71","35.87M","18.32%"
"2014-07-01","69.38","72.48","76.44","68.80","42.36M","-3.73%"
"2014-06-01","72.07","71.21","72.50","70.06","35.96M","1.98%"
"2014-05-01","70.67","62.92","72.00","62.58","125.57M","11.29%"
"2014-04-01","63.50","64.55","65.58","57.27","49.86M","-1.41%"
