"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-12-01","542,775","545,957","560,120","533,925","7.38K","-0.57%"
"2023-11-01","545,900","517,662","553,258","515,921","166.75K","5.42%"
"2023-10-01","517,825","531,214","533,864","502,000","172.40K","-2.57%"
"2023-09-01","531,477","548,601","566,570","529,000","165.33K","-2.79%"
"2023-08-01","546,725","540,179","556,117","529,000","173.56K","2.12%"
"2023-07-01","535,400","519,086","538,499","513,874","146.42K","3.40%"
"2023-06-01","517,810","489,307","522,000","486,125","139.74K","6.10%"
"2023-05-01","488,024","502,856","511,335","482,500","136.91K","-2.95%"
"2023-04-01","502,880","468,875","505,949","464,694","101.17K","8.01%"
"2023-03-01","465,600","460,829","481,824","442,364","107.46K","0.45%"
"2023-02-01","463,525","469,923","478,387","454,955","85.84K","-2.00%"
"2023-01-01","473,000","472,950","488,688","460,233","83.58K","0.92%"
"2022-12-01","468,711","481,043","483,393","445,251","66.61K","-2.41%"
"2022-11-01","480,280","450,141","481,580","426,136","62.51K","7.92%"
"2022-10-01","445,050","409,435","468,795","393,012","58.00K","9.49%"
"2022-09-01","406,470","421,000","434,577","395,202","57.08K","-3.52%"
"2022-08-01","421,308","451,989","463,000","421,308","59.19K","-6.73%"
"2022-07-01","451,700","407,700","453,985","407,700","42.48K","10.45%"
"2022-06-01","408,950","476,594","476,594","396,500","46.35K","-13.73%"
"2022-05-01","474,050","485,921","494,343","448,108","52.36K","-2.12%"
"2022-04-01","484,340","530,026","533,139","484,340","58.01K","-8.43%"
"2022-03-01","528,921","482,000","544,389","470,645","58.14K","11.07%"
"2022-02-01","476,205","469,465","488,400","450,000","35.63K","1.36%"
"2022-01-01","469,805","452,005","487,255","443,402","44.31K","4.25%"
"2021-12-01","450,662","421,535","455,910","415,000","37.54K","8.10%"
"2021-11-01","416,876","434,513","445,000","416,546","37.93K","-3.70%"
"2021-10-01","432,902","412,916","439,850","410,100","32.11K","5.23%"
"2021-09-01","411,379","431,181","433,720","409,000","24.24K","-4.31%"
"2021-08-01","429,900","420,985","439,800","416,965","23.67K","2.63%"
"2021-07-01","418,900","418,708","424,304","407,773","23.27K","0.07%"
"2021-06-01","418,601","438,718","441,063","409,701","32.82K","-3.99%"
"2021-05-01","436,000","418,962","445,000","410,850","41.06K","5.70%"
"2021-04-01","412,500","387,979","417,905","385,702","35.96K","6.95%"
"2021-03-01","385,702","372,555","407,750","368,430","56.24K","5.79%"
"2021-02-01","364,580","345,000","377,357","344,250","18.55K","5.95%"
"2021-01-01","344,100","347,825","354,837","340,816","6.50K","-1.07%"
"2020-12-01","347,815","346,480","348,500","333,150","9.02K","1.20%"
"2020-11-01","343,688","307,500","352,500","305,242","7.25K","13.62%"
"2020-10-01","302,500","321,219","326,150","297,817","5.61K","-5.47%"
"2020-09-01","320,001","325,500","334,960","310,591","9.40K","-2.31%"
"2020-08-01","327,560","295,000","329,299","294,510","8.06K","11.55%"
"2020-07-01","293,631","267,600","294,870","266,357","7.65K","9.85%"
"2020-06-01","267,300","278,167","304,990","262,700","13.83K","-4.07%"
"2020-05-01","278,640","278,121","280,899","250,926","8.32K","-1.09%"
"2020-04-01","281,700","265,900","295,765","261,180","13.54K","3.57%"
"2020-03-01","272,000","314,000","327,937","239,440","18.91K","-12.00%"
"2020-02-01","309,096","338,160","345,000","300,750","5.93K","-8.01%"
"2020-01-01","335,996","341,150","347,400","332,000","5.15K","-1.06%"
"2019-12-01","339,590","330,802","342,250","324,900","5.62K","2.75%"
"2019-11-01","330,495","320,250","335,000","320,000","5.78K","3.62%"
"2019-10-01","318,939","313,100","320,500","302,260","7.22K","2.28%"
"2019-09-01","311,832","302,200","321,833","300,731","4.75K","2.89%"
"2019-08-01","303,078","310,250","316,000","294,511","5.45K","-1.81%"
"2019-07-01","308,666","321,032","324,711","306,623","5.43K","-3.04%"
"2019-06-01","318,350","297,000","319,960","296,623","4.74K","7.17%"
"2019-05-01","297,060","325,700","328,555","296,800","6.60K","-8.62%"
"2019-04-01","325,080","302,800","325,845","302,800","4.52K","7.92%"
"2019-03-01","301,215","304,520","311,299","295,900","5.26K","-0.33%"
"2019-02-01","302,200","310,005","313,960","297,381","4.80K","-2.99%"
"2019-01-01","311,500","302,000","311,890","286,650","8.46K","1.80%"
"2018-12-01","306,000","331,500","335,041","279,410","9.49K","-6.13%"
