"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-12-01","356.95","359.94","363.03","350.90","2.71M","-0.85%"
"2023-11-01","360.00","341.21","363.19","340.58","66.45M","5.47%"
"2023-10-01","341.33","349.64","350.00","330.58","64.95M","-2.56%"
"2023-09-01","350.30","362.00","373.34","348.55","70.95M","-2.75%"
"2023-08-01","360.20","352.03","364.63","349.39","64.51M","2.34%"
"2023-07-01","351.96","340.75","352.33","338.41","55.74M","3.21%"
"2023-06-01","341.00","321.42","342.50","319.53","78.71M","6.20%"
"2023-05-01","321.08","329.16","333.94","317.41","69.56M","-2.27%"
"2023-04-01","328.55","309.25","328.81","307.07","55.12M","6.41%"
"2023-03-01","308.77","304.02","317.29","292.42","109.28M","1.18%"
"2023-02-01","305.18","309.63","314.15","300.01","65.68M","-2.04%"
"2023-01-01","311.52","310.07","321.32","303.86","66.96M","0.85%"
"2022-12-01","308.90","319.00","319.56","297.00","79.52M","-3.04%"
"2022-11-01","318.60","298.45","319.12","282.38","81.98M","7.97%"
"2022-10-01","295.09","269.52","299.98","259.85","84.98M","10.51%"
"2022-09-01","267.02","279.95","289.24","261.55","92.14M","-4.91%"
"2022-08-01","280.80","299.70","308.15","280.44","84.01M","-6.59%"
"2022-07-01","300.60","272.50","302.40","271.20","73.42M","10.10%"
"2022-06-01","273.02","316.00","316.79","263.68","100.76M","-13.60%"
"2022-05-01","315.98","324.11","327.28","298.11","96.34M","-2.12%"
"2022-04-01","322.83","353.65","354.58","320.50","82.22M","-8.52%"
"2022-03-01","352.91","320.26","362.10","313.59","129.50M","9.79%"
"2022-02-01","321.45","312.64","325.63","299.51","102.84M","2.69%"
"2022-01-01","313.02","300.10","324.40","294.81","109.52M","4.69%"
"2021-12-01","299.00","279.54","301.65","274.79","101.97M","8.06%"
"2021-11-01","276.69","288.05","295.65","275.89","87.34M","-3.60%"
"2021-10-01","287.01","273.02","292.22","272.22","74.98M","5.15%"
"2021-09-01","272.94","286.59","287.14","271.36","105.01M","-4.49%"
"2021-08-01","285.77","279.31","291.82","276.77","78.02M","2.69%"
"2021-07-01","278.29","278.20","282.22","270.73","80.62M","0.13%"
"2021-06-01","277.92","291.52","293.27","272.45","109.24M","-3.98%"
"2021-05-01","289.44","278.55","295.08","276.78","98.74M","5.27%"
"2021-04-01","274.95","255.74","277.79","254.80","85.04M","7.63%"
"2021-03-01","255.47","246.86","267.50","243.23","151.39M","6.22%"
"2021-02-01","240.51","229.97","250.56","228.04","86.18M","5.55%"
"2021-01-01","227.87","231.73","236.24","226.10","103.35M","-1.73%"
"2020-12-01","231.87","230.23","232.28","221.26","124.86M","1.29%"
"2020-11-01","228.91","204.84","234.99","203.06","104.48M","13.38%"
"2020-10-01","201.90","214.30","217.43","197.81","91.64M","-5.18%"
"2020-09-01","212.94","216.92","223.24","206.58","115.36M","-2.34%"
"2020-08-01","218.04","197.28","219.45","196.00","102.38M","11.37%"
"2020-07-01","195.78","178.41","196.67","177.34","126.05M","9.67%"
"2020-06-01","178.51","185.53","203.33","174.63","172.24M","-3.81%"
"2020-05-01","185.58","185.21","187.28","167.04","144.08M","-0.95%"
"2020-04-01","187.36","176.18","197.23","174.19","151.39M","2.48%"
"2020-03-01","182.83","207.25","218.80","159.50","276.96M","-11.39%"
"2020-02-01","206.34","225.48","230.08","199.68","95.31M","-8.06%"
"2020-01-01","224.43","227.51","231.61","221.11","79.85M","-0.91%"
"2019-12-01","226.50","220.60","228.23","216.40","80.50M","2.81%"
"2019-11-01","220.30","213.55","223.37","213.40","72.12M","3.63%"
"2019-10-01","212.58","208.94","213.71","201.33","78.11M","2.19%"
"2019-09-01","208.02","201.19","214.58","200.19","78.38M","2.27%"
"2019-08-01","203.41","205.63","206.98","195.40","97.33M","-0.98%"
"2019-07-01","205.43","214.25","216.58","204.36","69.46M","-3.63%"
"2019-06-01","213.17","197.62","213.33","196.89","72.13M","7.98%"
"2019-05-01","197.42","217.22","219.16","197.07","88.80M","-8.90%"
"2019-04-01","216.71","202.16","217.32","202.00","64.25M","7.87%"
"2019-03-01","200.89","203.15","207.75","197.03","89.07M","-0.20%"
"2019-02-01","201.30","206.52","209.40","198.21","80.02M","-2.06%"
"2019-01-01","205.54","201.73","208.01","191.04","99.69M","0.67%"
"2018-12-01","204.18","221.98","223.59","186.10","123.64M","-6.44%"
"2018-11-01","218.24","205.60","223.52","203.39","92.11M","6.31%"
"2018-10-01","205.28","215.92","224.07","197.29","111.55M","-4.12%"
"2018-09-01","214.11","209.21","223.00","208.04","81.81M","2.58%"
"2018-08-01","208.72","198.80","211.32","196.77","85.48M","5.48%"
"2018-07-01","197.87","186.09","201.40","185.72","79.85M","6.01%"
"2018-06-01","186.65","192.90","196.74","184.75","96.47M","-2.55%"
"2018-05-01","191.53","193.76","202.41","188.62","85.91M","-1.14%"
"2018-04-01","193.73","199.01","202.77","192.02","78.80M","-2.88%"
"2018-03-01","199.48","206.82","213.36","191.87","100.51M","-3.73%"
"2018-02-01","207.20","214.49","217.50","189.30","113.73M","-3.35%"
"2018-01-01","214.38","198.87","217.62","195.96","86.83M","8.15%"
"2017-12-01","198.22","193.59","200.50","189.72","78.50M","2.70%"
"2017-11-01","193.01","188.10","193.81","180.44","67.33M","3.25%"
"2017-10-01","186.94","183.45","190.68","182.93","58.81M","1.97%"
"2017-09-01","183.32","181.60","184.00","172.61","69.48M","1.19%"
"2017-08-01","181.16","175.93","181.87","174.81","68.41M","3.54%"
"2017-07-01","174.97","170.40","175.60","168.00","56.31M","3.31%"
"2017-06-01","169.37","165.80","171.95","164.75","74.75M","2.47%"
"2017-05-01","165.28","165.80","168.04","160.93","77.06M","0.04%"
"2017-04-01","165.21","166.72","168.95","162.28","71.14M","-0.88%"
"2017-03-01","166.68","173.70","177.86","165.80","91.10M","-2.77%"
"2017-02-01","171.42","164.75","172.20","162.15","65.29M","4.44%"
"2017-01-01","164.14","164.34","165.30","158.61","68.22M","0.71%"
"2016-12-01","162.98","157.58","167.25","157.51","82.83M","3.52%"
"2016-11-01","157.44","144.68","159.09","142.35","88.39M","9.11%"
"2016-10-01","144.30","144.27","145.71","141.92","58.78M","-0.12%"
"2016-09-01","144.47","150.70","151.05","143.36","79.26M","-4.00%"
"2016-08-01","150.49","144.62","150.90","142.91","62.48M","4.31%"
"2016-07-01","144.27","144.59","146.99","140.95","61.23M","-0.36%"
"2016-06-01","144.79","140.97","146.00","136.65","89.98M","3.02%"
"2016-05-01","140.54","145.77","147.14","139.68","64.50M","-3.40%"
"2016-04-01","145.48","141.21","148.03","140.27","61.19M","2.54%"
"2016-03-01","141.88","135.11","143.40","134.32","85.84M","5.75%"
"2016-02-01","134.17","128.94","135.11","123.55","96.04M","3.39%"
"2016-01-01","129.77","130.16","131.76","123.90","103.40M","-1.72%"
"2015-12-01","132.04","134.86","136.74","129.53","88.19M","-1.53%"
"2015-11-01","134.09","136.77","138.62","131.47","60.93M","-1.42%"
"2015-10-01","136.02","130.55","138.50","127.46","70.21M","4.31%"
"2015-09-01","130.40","131.79","134.66","127.67","100.65M","-2.72%"
"2015-08-01","134.04","143.11","143.99","125.50","99.66M","-6.10%"
"2015-07-01","142.74","137.70","144.69","136.04","66.03M","4.87%"
"2015-06-01","136.11","143.26","144.07","136.08","72.42M","-4.82%"
"2015-05-01","143.00","142.00","148.57","141.79","59.09M","1.27%"
"2015-04-01","141.21","144.34","144.63","140.33","61.85M","-2.15%"
"2015-03-01","144.32","147.71","147.98","142.50","78.76M","-2.10%"
"2015-02-01","147.41","144.13","151.63","143.30","64.11M","2.43%"
"2015-01-01","143.91","151.50","151.69","143.89","85.93M","-4.16%"
"2014-12-01","150.15","148.61","152.94","144.75","93.44M","0.98%"
"2014-11-01","148.69","140.88","149.49","139.55","55.48M","6.09%"
