"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-12-01","583.50","591.70","601.97","562.00","1.96M","-1.28%"
"2023-11-01","591.04","555.00","625.87","551.26","75.39M","6.70%"
"2023-10-01","553.93","536.01","629.97","516.57","71.89M","3.13%"
"2023-09-01","537.13","556.32","601.84","532.20","58.02M","-3.08%"
"2023-08-01","554.20","455.35","557.75","446.89","71.15M","21.92%"
"2023-07-01","454.55","466.26","467.60","434.34","46.84M","-3.08%"
"2023-06-01","468.98","430.27","469.87","428.13","56.99M","9.20%"
"2023-05-01","429.46","397.26","454.95","392.26","75.45M","8.49%"
"2023-04-01","395.86","343.24","404.31","342.30","56.10M","15.27%"
"2023-03-01","343.42","310.00","343.65","309.20","80.12M","10.35%"
"2023-02-01","311.22","342.79","353.82","309.64","66.67M","-9.57%"
"2023-01-01","344.15","366.26","369.00","339.38","50.72M","-5.93%"
"2022-12-01","365.84","374.79","375.25","354.61","53.00M","-1.41%"
"2022-11-01","371.08","345.83","372.35","340.12","69.75M","2.48%"
"2022-10-01","362.09","325.99","363.92","317.05","55.84M","11.98%"
"2022-09-01","323.35","301.00","341.70","296.32","68.98M","7.34%"
"2022-08-01","301.23","327.51","330.43","296.53","62.15M","-8.63%"
"2022-07-01","329.69","323.88","335.33","315.51","42.68M","1.68%"
"2022-06-01","324.23","313.44","330.85","283.11","68.05M","3.44%"
"2022-05-01","313.44","291.23","324.08","283.00","65.90M","7.29%"
"2022-04-01","292.13","286.15","314.00","276.83","58.09M","2.01%"
"2022-03-01","286.37","247.56","295.33","245.44","70.54M","14.57%"
"2022-02-01","249.95","247.05","252.90","231.87","51.89M","1.86%"
"2022-01-01","245.39","274.41","274.41","232.68","59.95M","-11.16%"
"2021-12-01","276.22","249.44","283.90","239.47","74.51M","11.36%"
"2021-11-01","248.04","255.11","271.11","246.48","61.38M","-2.64%"
"2021-10-01","254.76","231.00","256.75","224.22","53.32M","10.26%"
"2021-09-01","231.05","258.54","260.99","220.20","61.20M","-10.55%"
"2021-08-01","258.29","245.73","275.87","243.50","54.23M","6.07%"
"2021-07-01","243.50","229.51","248.40","228.66","50.27M","6.09%"
"2021-06-01","229.52","200.32","239.37","196.68","95.32M","14.91%"
"2021-05-01","199.74","182.99","203.62","182.92","60.88M","9.28%"
"2021-04-01","182.77","186.82","193.50","178.58","63.36M","-2.17%"
"2021-03-01","186.82","205.78","212.16","179.82","96.15M","-8.82%"
"2021-02-01","204.89","209.46","209.89","195.64","62.93M","-1.48%"
"2021-01-01","207.97","169.02","218.00","161.78","114.17M","23.18%"
"2020-12-01","168.84","146.69","173.90","143.13","81.34M","15.92%"
"2020-11-01","145.65","132.54","151.98","129.99","90.58M","11.64%"
"2020-10-01","130.46","148.33","157.15","129.21","87.15M","-11.86%"
"2020-09-01","148.02","148.61","154.50","145.06","80.10M","-0.25%"
"2020-08-01","148.39","152.80","157.49","146.98","52.18M","-1.26%"
"2020-07-01","150.29","164.32","170.75","148.74","61.97M","-8.46%"
"2020-06-01","164.18","154.47","167.43","139.68","98.01M","7.34%"
"2020-05-01","152.95","153.72","162.37","143.62","65.39M","-1.09%"
"2020-04-01","154.64","134.00","164.90","132.98","79.57M","11.48%"
"2020-03-01","138.72","127.74","144.00","117.06","150.28M","9.98%"
"2020-02-01","126.13","140.53","147.87","121.51","73.12M","-9.67%"
"2020-01-01","139.64","131.77","143.72","130.23","76.36M","6.25%"
"2019-12-01","131.43","117.52","137.00","115.92","71.54M","12.00%"
"2019-11-01","117.35","114.07","118.46","110.51","60.56M","2.98%"
"2019-10-01","113.95","111.94","114.67","101.36","74.28M","1.90%"
"2019-09-01","111.83","112.54","117.23","106.40","71.49M","-1.01%"
"2019-08-01","112.97","109.02","116.14","107.44","75.99M","3.69%"
"2019-07-01","108.95","111.31","115.46","105.15","85.98M","-1.66%"
"2019-06-01","110.79","116.53","118.94","110.02","85.96M","-4.44%"
"2019-05-01","115.94","117.05","119.53","113.87","92.25M","-0.94%"
"2019-04-01","117.04","130.71","131.35","113.65","117.71M","-9.80%"
"2019-03-01","129.76","127.25","132.13","121.96","659.37M","2.75%"
"2019-02-01","126.29","120.32","127.77","116.86","284.95M","5.36%"
"2019-01-01","119.86","114.79","120.14","111.10","101.29M","3.58%"
"2018-12-01","115.72","118.64","119.84","105.67","100.23M","-2.46%"
"2018-11-01","118.64","108.74","118.71","104.95","100.55M","9.41%"
"2018-10-01","108.44","107.67","116.61","104.17","112.53M","1.05%"
"2018-09-01","107.31","105.31","107.84","103.65","68.63M","1.57%"
"2018-08-01","105.65","98.74","106.49","97.84","78.29M","6.92%"
"2018-07-01","98.81","85.06","99.20","84.71","78.82M","15.80%"
"2018-06-01","85.33","85.20","87.27","84.36","73.33M","0.34%"
"2018-05-01","85.04","80.68","85.11","77.09","86.81M","4.90%"
"2018-04-01","81.07","76.88","83.56","75.40","86.52M","4.78%"
"2018-03-01","77.37","77.06","80.49","74.51","88.21M","0.45%"
"2018-02-01","77.02","81.54","83.03","73.69","118.80M","-5.44%"
"2018-01-01","81.45","84.46","88.33","81.27","94.85M","-3.56%"
"2017-12-01","84.46","84.98","89.09","84.18","68.63M","-0.21%"
"2017-11-01","84.64","82.17","85.48","81.42","54.84M","3.30%"
"2017-10-01","81.94","85.78","89.09","81.72","80.74M","-4.21%"
"2017-09-01","85.54","81.54","85.61","79.05","69.99M","5.23%"
"2017-08-01","81.29","82.86","83.15","76.89","74.94M","-1.66%"
"2017-07-01","82.66","82.41","85.53","80.77","72.20M","0.44%"
"2017-06-01","82.30","79.60","84.76","78.75","79.73M","3.43%"
"2017-05-01","79.57","82.09","83.11","76.85","85.37M","-3.03%"
"2017-04-01","82.06","84.13","86.72","79.88","83.46M","-2.44%"
"2017-03-01","84.11","83.44","86.14","81.37","82.52M","1.57%"
"2017-02-01","82.81","77.90","83.48","76.55","67.25M","7.50%"
"2017-01-01","77.03","73.94","78.12","73.54","97.54M","4.73%"
"2016-12-01","73.55","67.29","74.49","65.66","132.24M","9.58%"
"2016-11-01","67.12","73.81","79.70","64.18","165.78M","-9.10%"
"2016-10-01","73.84","80.00","83.24","73.80","81.95M","-8.00%"
"2016-09-01","80.26","77.75","81.46","76.45","76.07M","3.23%"
"2016-08-01","77.75","83.02","83.79","77.53","69.80M","-6.20%"
"2016-07-01","82.89","78.89","83.59","78.37","74.23M","5.26%"
"2016-06-01","78.75","74.90","78.81","71.87","103.82M","4.96%"
"2016-05-01","75.03","75.95","78.71","73.34","86.47M","-0.66%"
"2016-04-01","75.53","71.60","78.50","71.53","76.18M","4.89%"
"2016-03-01","72.01","72.63","74.95","67.88","117.69M","0.01%"
"2016-02-01","72.00","78.21","79.16","70.43","104.14M","-8.98%"
"2016-01-01","79.10","83.40","85.40","76.54","116.13M","-6.12%"
"2015-12-01","84.26","84.21","88.16","82.56","86.17M","2.71%"
