"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-12-01","354.02","325.48","361.87","313.69","11.74M","8.21%"
"2023-11-01","327.15","301.85","342.92","301.85","328.61M","8.59%"
"2023-10-01","301.27","302.74","330.54","279.40","511.37M","0.35%"
"2023-09-01","300.21","299.37","312.87","286.79","406.80M","1.46%"
"2023-08-01","295.89","317.54","324.14","274.38","424.63M","-7.13%"
"2023-07-01","318.60","286.65","326.11","284.85","270.47M","11.02%"
"2023-06-01","286.98","265.90","289.79","258.88","481.18M","8.41%"
"2023-05-01","264.72","238.62","268.65","229.85","487.17M","10.15%"
"2023-04-01","240.32","208.84","241.69","207.13","446.69M","13.39%"
"2023-03-01","211.94","174.59","212.17","171.43","690.45M","21.15%"
"2023-02-01","174.94","148.03","197.16","147.06","772.20M","17.43%"
"2023-01-01","148.97","122.82","153.19","122.28","548.77M","23.79%"
"2022-12-01","120.34","119.20","124.67","112.46","653.02M","1.90%"
"2022-11-01","118.10","94.33","118.74","88.09","1.06B","26.77%"
"2022-10-01","93.16","137.14","142.39","92.60","1.11B","-31.34%"
"2022-09-01","135.68","163.58","171.39","134.12","635.06M","-16.72%"
"2022-08-01","162.93","157.25","183.10","155.23","551.92M","2.41%"
"2022-07-01","159.10","160.31","183.85","154.85","586.55M","-1.33%"
"2022-06-01","161.25","196.51","202.03","154.25","686.38M","-16.73%"
"2022-05-01","193.64","201.16","224.30","176.11","680.55M","-3.41%"
"2022-04-01","200.47","224.55","236.86","169.00","672.30M","-9.84%"
"2022-03-01","222.36","209.87","231.15","185.82","733.29M","5.37%"
"2022-02-01","211.03","314.55","328.00","190.22","1.13B","-32.63%"
"2022-01-01","313.26","338.30","343.09","289.01","427.35M","-6.86%"
"2021-12-01","336.35","330.29","352.71","299.50","438.30M","3.66%"
"2021-11-01","324.46","326.04","353.83","323.20","441.13M","0.28%"
"2021-10-01","323.57","341.61","345.02","308.11","588.38M","-4.66%"
"2021-09-01","339.39","379.59","384.33","338.15","338.13M","-10.54%"
"2021-08-01","379.38","358.10","382.76","347.70","226.15M","6.48%"
"2021-07-01","356.30","346.82","377.55","334.50","335.42M","2.47%"
"2021-06-01","347.71","330.15","358.14","323.48","344.81M","5.77%"
"2021-05-01","328.73","326.17","333.78","298.19","353.42M","1.12%"
"2021-04-01","325.08","298.40","331.81","296.04","421.28M","10.37%"
"2021-03-01","294.53","260.82","299.70","253.50","497.46M","14.33%"
"2021-02-01","257.62","259.52","276.60","254.04","317.78M","-0.27%"
"2021-01-01","258.33","274.78","286.79","244.61","452.70M","-5.43%"
"2020-12-01","273.16","279.16","291.78","264.63","363.96M","-1.38%"
"2020-11-01","276.97","264.60","297.38","257.34","356.80M","5.27%"
"2020-10-01","263.11","265.35","285.24","254.82","454.18M","0.46%"
"2020-09-01","261.90","294.71","303.60","244.13","499.18M","-10.68%"
"2020-08-01","293.20","252.65","304.67","247.43","574.31M","15.58%"
"2020-07-01","253.67","228.50","255.85","226.90","517.67M","11.71%"
"2020-06-01","227.07","224.59","245.19","207.11","548.04M","0.88%"
"2020-05-01","225.09","201.60","240.90","198.76","509.64M","9.96%"
"2020-04-01","204.71","161.62","209.69","150.83","541.54M","22.73%"
"2020-03-01","166.80","194.03","197.24","137.10","649.51M","-13.34%"
"2020-02-01","192.47","203.44","218.76","181.82","317.63M","-4.68%"
"2020-01-01","201.91","206.75","224.20","201.06","348.10M","-1.63%"
"2019-12-01","205.25","202.13","208.93","193.17","278.23M","1.79%"
"2019-11-01","201.64","192.85","203.80","188.54","258.58M","5.21%"
"2019-10-01","191.65","179.15","198.09","173.09","330.15M","7.62%"
"2019-09-01","178.08","184.00","193.10","175.66","267.51M","-4.09%"
"2019-08-01","185.67","194.17","198.47","176.66","295.17M","-4.41%"
"2019-07-01","194.23","195.21","208.66","191.93","351.06M","0.64%"
