"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-12-01","376.04","376.76","378.16","362.90","522.08M","-0.76%"
"2023-11-01","378.91","339.79","384.30","339.65","562.96M","12.07%"
"2023-10-01","338.11","316.28","346.20","311.21","540.96M","7.08%"
"2023-09-01","315.75","331.31","340.86","309.45","416.77M","-3.66%"
"2023-08-01","327.76","335.19","338.54","311.55","479.67M","-2.43%"
"2023-07-01","335.92","339.19","366.78","327.00","666.96M","-1.36%"
"2023-06-01","340.54","325.93","351.47","322.50","547.75M","3.70%"
"2023-05-01","328.39","306.97","335.94","303.40","600.86M","6.88%"
"2023-04-01","307.26","286.52","308.93","275.37","551.52M","6.58%"
"2023-03-01","288.30","250.76","289.27","245.61","747.75M","15.59%"
"2023-02-01","249.42","248.00","276.76","245.47","615.54M","0.65%"
"2023-01-01","247.81","243.08","249.83","219.35","666.17M","3.33%"
"2022-12-01","239.82","253.87","263.92","233.87","591.37M","-6.00%"
"2022-11-01","255.14","234.60","255.33","213.43","615.33M","9.91%"
"2022-10-01","232.13","235.41","251.04","219.13","671.37M","-0.33%"
"2022-09-01","232.90","258.87","267.45","232.73","575.60M","-10.93%"
"2022-08-01","261.47","277.82","294.18","260.66","477.18M","-6.86%"
"2022-07-01","280.74","256.39","282.00","245.94","534.99M","9.31%"
"2022-06-01","256.83","275.20","277.69","241.51","621.50M","-5.53%"
"2022-05-01","271.87","277.71","290.88","246.44","742.90M","-2.04%"
"2022-04-01","277.52","309.37","315.11","270.00","627.39M","-9.99%"
"2022-03-01","308.31","296.40","315.95","270.00","734.35M","3.19%"
"2022-02-01","298.79","310.41","315.12","271.52","697.37M","-3.92%"
"2022-01-01","310.98","335.35","338.00","276.05","947.99M","-7.53%"
"2021-12-01","336.32","335.13","344.30","317.25","625.97M","1.73%"
"2021-11-01","330.59","331.36","349.67","326.37","509.89M","-0.31%"
"2021-10-01","331.62","282.12","332.00","280.25","516.52M","17.63%"
"2021-09-01","281.92","302.86","305.32","281.62","502.93M","-6.61%"
