"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-12-01","495.22","465.25","504.33","450.10","741.19M","5.88%"
"2023-11-01","467.70","408.84","505.48","408.69","914.39M","14.69%"
"2023-10-01","407.80","440.30","476.09","392.30","1.01B","-6.25%"
"2023-09-01","434.99","497.62","498.00","409.80","858.01M","-11.87%"
"2023-08-01","493.55","464.60","502.66","403.11","1.36B","5.62%"
"2023-07-01","467.29","426.00","480.22","413.52","356.56M","10.47%"
"2023-06-01","423.02","384.89","439.90","373.56","1.05B","11.81%"
"2023-05-01","378.34","278.40","419.38","272.40","1.17B","36.34%"
"2023-04-01","277.49","275.09","281.10","262.20","743.64M","-0.10%"
"2023-03-01","277.77","231.92","278.34","222.97","1.13B","19.65%"
"2023-02-01","232.16","196.91","238.88","196.11","1.04B","18.83%"
"2023-01-01","195.37","148.51","206.28","140.34","945.50M","33.69%"
"2022-12-01","146.14","169.99","187.90","138.84","894.62M","-13.64%"
"2022-11-01","169.23","138.11","169.98","129.56","1.06B","25.38%"
"2022-10-01","134.97","123.47","138.50","108.13","1.26B","11.19%"
"2022-09-01","121.39","142.09","145.47","119.46","1.31B","-19.58%"
"2022-08-01","150.94","181.82","192.74","149.59","1.21B","-16.90%"
"2022-07-01","181.63","148.99","182.44","140.55","1.06B","19.82%"
"2022-06-01","151.59","187.24","196.19","148.62","1.06B","-18.81%"
"2022-05-01","186.72","185.40","204.00","155.67","1.38B","0.67%"
"2022-04-01","185.47","273.75","275.58","182.90","1.11B","-32.03%"
"2022-03-01","272.86","242.91","289.46","206.50","1.16B","11.90%"
"2022-02-01","243.85","251.04","269.25","208.90","1.06B","-0.41%"
"2022-01-01","244.86","298.15","307.11","208.88","1.07B","-16.75%"
"2021-12-01","294.11","332.19","332.89","271.45","1.11B","-9.99%"
"2021-11-01","326.76","256.49","346.47","252.27","1.08B","27.81%"
"2021-10-01","255.67","207.50","257.09","195.55","497.11M","23.42%"
"2021-09-01","207.16","224.85","229.86","204.67","499.96M","-7.46%"
"2021-08-01","223.85","197.00","230.43","187.62","641.69M","14.80%"
"2021-07-01","194.99","201.25","208.75","178.65","782.37M","-2.52%"
"2021-06-01","200.02","162.70","201.63","159.03","1.03B","23.13%"
"2021-05-01","162.45","151.25","162.77","134.59","705.47M","8.23%"
"2021-04-01","150.10","135.72","162.14","135.11","671.91M","12.45%"
"2021-03-01","133.48","138.75","139.25","115.67","764.95M","-2.67%"
"2021-02-01","137.15","130.53","153.73","129.03","668.15M","5.58%"
"2021-01-01","129.90","131.04","139.99","125.86","615.54M","-0.50%"
"2020-12-01","130.55","134.92","137.31","127.63","512.28M","-2.59%"
"2020-11-01","134.01","126.58","146.91","123.95","759.61M","6.92%"
"2020-10-01","125.34","137.58","143.48","123.00","802.37M","-7.36%"
"2020-09-01","135.30","134.80","147.27","117.04","1.59B","1.17%"
"2020-08-01","133.74","107.32","135.75","107.15","967.39M","26.00%"
"2020-07-01","106.15","95.21","107.92","94.13","809.53M","11.76%"
"2020-06-01","94.98","88.33","96.43","86.58","972.01M","7.01%"
"2020-05-01","88.75","71.09","91.82","70.21","1.26B","21.47%"
"2020-04-01","73.07","63.91","76.05","59.60","1.13B","10.88%"
"2020-03-01","65.90","69.22","71.22","45.17","1.58B","-2.40%"
"2020-02-01","67.52","58.92","79.08","58.86","1.19B","14.23%"
"2020-01-01","59.11","59.69","64.88","57.82","613.28M","0.48%"
"2019-12-01","58.83","54.12","60.45","50.09","657.32M","8.56%"
"2019-11-01","54.19","49.90","55.35","49.65","733.84M","7.82%"
"2019-10-01","50.26","43.75","52.22","42.53","781.08M","15.48%"
"2019-09-01","43.52","41.15","47.10","40.81","640.75M","3.92%"
"2019-08-01","41.88","42.28","43.36","36.85","954.94M","-0.72%"
"2019-07-01","42.18","43.14","44.72","38.75","841.87M","2.73%"
"2019-06-01","41.06","33.98","41.34","33.15","823.33M","21.24%"
"2019-05-01","33.87","45.78","46.22","33.85","1.12B","-25.16%"
"2019-04-01","45.25","45.81","48.37","43.33","944.31M","0.80%"
"2019-03-01","44.89","39.07","46.25","36.20","1.21B","16.40%"
"2019-02-01","38.56","36.13","41.32","35.65","1.14B","7.31%"
"2019-01-01","35.94","32.66","40.22","31.92","1.69B","7.68%"
"2018-12-01","33.38","43.15","43.67","31.11","1.25B","-18.31%"
"2018-11-01","40.86","53.08","55.50","33.33","1.62B","-22.48%"
"2018-10-01","52.71","71.04","73.19","44.00","1.30B","-24.98%"
"2018-09-01","70.25","70.04","71.31","64.67","634.02M","0.12%"
"2018-08-01","70.17","61.53","70.43","59.68","1.09B","14.63%"
"2018-07-01","61.22","58.52","64.15","58.32","632.33M","3.36%"
"2018-06-01","59.22","63.50","67.30","58.75","878.55M","-6.06%"
"2018-05-01","63.05","56.14","65.13","55.55","1.20B","12.13%"
"2018-04-01","56.22","57.19","59.81","52.58","1.11B","-2.89%"
"2018-03-01","57.90","60.48","63.63","54.25","1.41B","-4.30%"
"2018-02-01","60.50","59.63","62.99","51.00","1.49B","-1.55%"
"2018-01-01","61.45","48.94","62.32","48.63","1.15B","27.03%"
"2017-12-01","48.38","49.83","50.08","45.15","1.01B","-3.59%"
"2017-11-01","50.18","52.34","54.67","47.81","1.18B","-2.95%"
"2017-10-01","51.70","45.20","51.97","44.25","1.14B","15.68%"
"2017-09-01","44.69","42.49","47.80","40.68","1.44B","5.51%"
"2017-08-01","42.36","40.53","43.64","38.23","1.47B","4.26%"
"2017-07-01","40.63","36.26","42.48","34.65","1.55B","12.42%"
"2017-06-01","36.14","36.25","42.13","35.53","2.34B","0.15%"
"2017-05-01","36.09","26.18","36.75","25.58","1.92B","38.40%"
"2017-04-01","26.08","27.24","27.41","23.87","957.26M","-4.25%"
"2017-03-01","27.23","25.95","27.50","23.79","1.43B","7.34%"
"2017-02-01","25.37","27.65","30.23","23.92","1.42B","-7.05%"
"2017-01-01","27.30","26.10","27.97","24.78","1.34B","2.29%"
"2016-12-01","26.68","23.02","29.98","21.19","1.81B","15.77%"
"2016-11-01","23.05","17.85","23.81","16.64","1.28B","29.57%"
"2016-10-01","17.79","17.13","18.24","15.93","655.16M","3.85%"
"2016-09-01","17.13","15.35","17.30","14.33","866.58M","11.71%"
"2016-08-01","15.34","14.34","15.87","13.88","930.51M","7.43%"
"2016-07-01","14.27","11.69","14.31","11.51","721.01M","21.46%"
"2016-06-01","11.75","11.63","12.14","11.14","819.92M","0.62%"
"2016-05-01","11.68","8.97","11.70","8.60","1.04B","31.49%"
"2016-04-01","8.88","8.85","9.36","8.66","673.43M","-0.28%"
"2016-03-01","8.91","7.86","9.06","7.76","657.82M","13.62%"
